element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,player_id
13,20,2,5,False,2026-08-31T19:00:00Z,0,1,2,False,84,0,0,1,0,0,0,0,0,0,0,0,19,24.0,27.6,0.0,5.2,2,7,3,12,1,0.00,0.10,0.10,0.33,75,-122235,1662633,35487,157722,13
14,1,7,1,True,2026-08-21T19:00:00Z,3,0,1,False,14,0,0,0,0,0,0,0,0,0,0,0,4,0.0,1.8,1.0,0.1,0,2,0,2,0,0.04,0.00,0.04,0.15,65,0,188164,0,0,14
14,20,2,1,False,2026-08-31T19:00:00Z,0,1,2,False,45,0,0,0,0,0,0,0,0,0,0,0,6,1.6,2.0,2.0,0.6,0,3,0,3,0,0.00,0.07,0.07,0.24,65,-38776,169814,5716,44492,14
15,1,7,11,True,2026-08-21T19:00:00Z,3,0,1,False,75,1,0,1,0,0,0,0,0,0,0,3,41,50.6,41.5,31.0,12.3,1,4,3,8,1,0.21,0.10,0.31,0.06,65,0,717252,0,0,15
15,20,2,3,False,2026-08-31T19:00:00Z,0,1,2,False,70,0,0,1,0,0,0,0,0,0,0,0,13,6.8,6.8,5.0,1.9,2,1,2,5,1,0.08,0.07,0.15,0.33,66,252699,1174125,289559,36860,15
16,1,7,1,True,2026-08-21T19:00:00Z,3,0,1,False,22,0,0,0,0,0,0,0,0,0,0,0,8,9.4,43.1,0.0,5.3,0,2,0,2,0,0.00,0.04,0.04,0.15,65,0,30442,0,0,16
16,20,2,0,False,2026-08-31T19:00:00Z,0,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,64,-6819,29476,1412,8231,16
17,1,7,1,True,2026-08-21T19:00:00Z,3,0,1,False,14,0,0,0,0,0,0,0,0,0,0,0,5,3.6,1.2,14.0,1.9,0,2,0,2,0,0.14,0.02,0.16,0.15,60,0,62671,0,0,17
17,20,2,1,False,2026-08-31T19:00:00Z,0,1,2,False,19,0,0,0,0,0,0,0,0,0,0,0,7,2.8,1.0,0.0,0.4,0,4,0,4,0,0.00,0.00,0.00,0.00,60,-12835,58253,2422,15257,17
18,1,7,0,True,2026-08-21T19:00:00Z,3,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,65,0,21290,0,0,18
18,20,2,0,False,2026-08-31T19:00:00Z,0,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,64,-5718,19331,1318,7036,18
19,1,7,1,True,2026-08-21T19:00:00Z,3,0,1,False,22,0,0,0,0,0,0,0,0,0,0,0,3,3.8,2.3,0.0,0.6,0,2,1,3,0,0.00,0.02,0.02,0.15,55,0,107568,0,0,19
19,20,2,1,False,2026-08-31T19:00:00Z,0,1,2,False,5,0,0,0,0,0,0,0,0,0,0,0,5,4.8,0.9,0.0,0.6,0,0,2,2,0,0.00,0.00,0.00,0.00,55,-19013,94430,1579,20592,19
20,1,7,0,True,2026-08-21T19:00:00Z,3,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,0,8920,0,0,20
20,20,2,0,False,2026-08-31T19:00:00Z,0,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,54,-1857,8233,473,2330,20
22,1,7,0,True,2026-08-21T19:00:00Z,3,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,0,1260,0,0,22
22,20,2,0,False,2026-08-31T19:00:00Z,0,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,-248,1254,76,324,22
23,1,7,0,True,2026-08-21T19:00:00Z,3,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,0,892,0,0,23
23,20,2,0,False,2026-08-31T19:00:00Z,0,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,-135,979,80,215,23
24,1,7,0,True,2026-08-21T19:00:00Z,3,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,0,853,0,0,24
24,20,2,0,False,2026-08-31T19:00:00Z,0,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,-108,966,64,172,24
25,1,7,0,True,2026-08-21T19:00:00Z,3,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,75,0,816962,0,0,25
25,20,2,0,False,2026-08-31T19:00:00Z,0,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,74,-229353,650596,8776,238129,25
26,1,7,6,True,2026-08-21T19:00:00Z,3,0,1,False,90,1,0,1,0,0,0,0,0,0,0,0,34,37.2,13.2,25.0,7.5,2,0,0,2,1,0.26,0.03,0.29,0.20,75,0,468616,0,0,26
26,20,2,2,False,2026-08-31T19:00:00Z,0,1,2,False,90,0,0,1,0,0,0,0,0,0,0,0,5,2.4,3.4,23.0,2.9,0,5,0,5,1,0.02,0.03,0.05,0.33,75,148783,752082,187608,38825,26
27,1,7,0,True,2026-08-21T19:00:00Z,3,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,60,0,31403,0,0,27
27,20,2,0,False,2026-08-31T19:00:00Z,0,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,60,-5264,32779,1914,7178,27
31,1,7,0,True,2026-08-21T19:00:00Z,3,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,0,1206127,0,0,31
31,20,2,1,False,2026-08-31T19:00:00Z,0,1,2,False,11,0,0,0,0,0,0,0,0,0,0,0,3,3.2,0.1,0.0,0.3,1,0,0,1,0,0.00,0.00,0.00,0.00,45,-179766,1061562,49821,229587,31
452,1,7,0,True,2026-08-21T19:00:00Z,3,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,70,0,391151,0,0,452
452,20,2,1,False,2026-08-31T19:00:00Z,0,1,2,False,19,0,0,0,0,0,0,0,0,0,0,0,4,1.4,0.8,2.0,0.4,0,3,0,3,0,0.00,0.01,0.01,0.00,69,-125705,265263,850,126555,452
