id,code,team_h,team_h_score,team_a,team_a_score,event,finished,minutes,provisional_start_time,kickoff_time,event_name,is_home,difficulty,player_id
373,2562267,8,,1,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,30
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,True,1,31
373,2562267,8,,1,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,31
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,True,1,266
373,2562267,8,,1,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,266
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,True,1,662
373,2562267,8,,1,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,662
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,True,1,666
373,2562267,8,,1,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,666
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,True,1,700
373,2562267,8,,1,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,700
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,True,1,711
373,2562267,8,,1,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,711
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,True,1,725
373,2562267,8,,1,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,725
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,True,1,759
373,2562267,8,,1,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,3,759
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,32
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,33
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,34
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,35
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,36
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,37
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,38
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,39
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,40
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,41
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,42
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,43
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,44
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,45
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,46
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,47
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,48
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,49
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,50
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,51
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,53
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,54
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,55
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,56
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,57
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,58
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,59
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,60
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,61
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,62
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,63
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,64
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,65
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,389
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,456
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,688
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,699
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,701
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,702
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,703
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,710
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,719
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,754
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,757
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,768
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,781
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,792
376,2562270,13,,2,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,False,5,808
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,183
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,183
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,184
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,184
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,185
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,185
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,186
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,186
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,187
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,187
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,188
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,188
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,189
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,189
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,190
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,190
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,191
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,191
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,192
372,2562266,3,,20,,38,False,0,False,2026-05-24T15:00:00Z,Gameweek 38,True,1,192
361,2562256,1,,3,,37,False,0,False,2026-05-18T19:00:00Z,Gameweek 37,False,5,193
