id,event,kickoff_time,team_h,team_h_name,team_h_short,team_h_difficulty,team_a,team_a_name,team_a_short,team_a_difficulty
361,37,2026-05-18T19:00:00Z,1,Arsenal,ARS,1,3,Burnley,BUR,5
363,37,2026-05-19T18:30:00Z,4,Bournemouth,BOU,4,13,Man City,MCI,4
365,37,2026-05-19T19:15:00Z,7,Chelsea,CHE,3,18,Spurs,TOT,3
371,38,2026-05-24T15:00:00Z,6,Brighton,BHA,3,14,Man Utd,MUN,4
372,38,2026-05-24T15:00:00Z,3,Burnley,BUR,1,20,Wolves,WOL,2
373,38,2026-05-24T15:00:00Z,8,Crystal Palace,CRY,4,1,Arsenal,ARS,3
374,38,2026-05-24T15:00:00Z,10,Fulham,FUL,3,15,Newcastle,NEW,3
375,38,2026-05-24T15:00:00Z,12,Liverpool,LIV,3,5,Brentford,BRE,4
376,38,2026-05-24T15:00:00Z,13,Man City,MCI,3,2,Aston Villa,AVL,5
377,38,2026-05-24T15:00:00Z,16,Nott'm Forest,NFO,3,4,Bournemouth,BOU,3
378,38,2026-05-24T15:00:00Z,17,Sunderland,SUN,3,7,Chelsea,CHE,3
379,38,2026-05-24T15:00:00Z,18,Spurs,TOT,3,9,Everton,EVE,3
380,38,2026-05-24T15:00:00Z,19,West Ham,WHU,2,11,Leeds,LEE,3
